Name,Lat,Lon,Site ID,Type,Priority
CSG-DNCL03,16.009583,108.174444,DNCL03,CSG,1
CSG-DNCL04_IXR-E,16.05701,108.17522,DNCL04,CSG,1
CSG-DNCL06,16.02153,108.21487,DNCL06,CSG,1
CSG-DNCL07_IXR-E,16.02708,108.21301,DNCL07,CSG,1
CSG-DNCL08_IXR-E,16.0347,108.21336,DNCL08,CSG,1
CSG-DNCL09_IXR-E,16.03661,108.20921,DNCL09,CSG,1
CSG-DNCL12_IXR-E,16.006349,108.190541,DNCL12,CSG,1
CSG-DNCL15_IXR-E,16.02561,108.18761,DNCL15,CSG,1
CSG-DNCL18_IXR-E,16.02548,108.20952,DNCL18,CSG,1
CSG-DNCL24,16.00206,108.21279,DNCL24,CSG,1
CSG-DNCL28_IXR-E,16.01993,108.198,DNCL28,CSG,1
CSG-DNCL30_IXR-E,16.01206,108.20144,DNCL30,CSG,1
CSG-DNCL31_IXR-E,16.04747,108.17698,DNCL31,CSG,1
CSG-DNCL56,16.01077,108.22035,DNCL56,CSG,1
CSG-DNCL92,16.023908,108.208655,DNCL92,CSG,1
CSG-DNHC01,16.06398,108.2142,DNHC01,CSG,1
CSG-DNHC02_IXR-E,16.064823,108.223084,DNHC02,CSG,1
CSG-DNHC05,16.04609,108.21013,DNHC05,CSG,1
CSG-DNHC07_IXR-E,16.03716,108.22093,DNHC07,CSG,1
CSG-DNHC11,16.030986,108.225064,DNHC11,CSG,1
CSG-DNHC13_IXR-E,16.05762,108.2205,DNHC13,CSG,1
CSG-DNHC14,16.04552,108.21972,DNHC14,CSG,1
CSG-DNHC15,16.049,108.217111,DNHC15,CSG,1
CSG-DNHC16_IXR-E,16.07118,108.22124,DNHC16,CSG,1
CSG-DNHC17_IXR-E,16.07745,108.21561,DNHC17,CSG,1
CSG-DNHC20_IXR-E,16.0746,108.20979,DNHC20,CSG,1
CSG-DNHC23_IXR-E,16.06194,108.22153,DNHC23,CSG,1
CSG-DNHC24,16.079285,108.221358,DNHC24,CSG,1
