Name,Lat,Lon
Quảng Trị#TTCMKV#TT2 Quảng Trị,16.79036,107.1043
Quảng Trị#TTCMKV#TX Quảng Trị,16.73942,107.1883
Quảng Trị#TTCMKV#Hải Lăng,16.69184,107.2455
Quảng Trị#TTCMKV#Đăk Rông,16.6945,106.8796
Quảng Trị#TTCMKV#Cam Lộ,16.80733,106.9927
Quảng Trị#TTCMKV#Vĩnh Linh,17.06196,107.0116
Quảng Trị#Phòng#PC11 (Trại tạm giam),16.80126,107.0875
Quảng Trị#Phòng#Trung tâm sát hạch lái xe,16.79029,107.091
Quảng Trị#Phòng#PC07,16.81325,107.0887
Quảng Trị#Phòng#Khối CS,16.79036,107.1043
Quảng Trị#Phòng#PC04/PA07,16.80926,107.0959
Quảng Trị#Phòng#PA08,16.79036,107.1043
Quảng Trị#Phòng#PA09,16.79036,107.1043
Quảng Trị#Phòng#Trại giam Nghĩa An (C10),16.70855,106.9669
"Quảng Trị#Phòng#Cơ sở cai nghiện (Cam Hiếu, Cam Lộ)",16.78465,107.0422
"Quảng Trị#Phòng#PK02 (TT. Ái Tử, Triệu Phong)",16.76855,107.1684
Quảng Trị#Phòng#TP Đông Hà,16.81566,107.1054
Huế#TTCMKV#CAT TT Huế mới,16.47699,107.6256
Huế#TTCMKV#Phú Vang ,16.44,107.7165
Huế#TTCMKV#Phú Lộc ,16.277,107.8626
Huế#TTCMKV#Hương Thủy ,16.4092,107.6814
Huế#TTCMKV#Quảng Điền ,16.56874,107.5136
Huế#TTCMKV#Phong Điền ,16.5703,107.3823
Huế#Phòng#PK02 ,16.46507,107.5959
Huế#Phòng#Phú Xuân ,16.4873,107.5877
Huế#Phòng#K02 (D2/E28) ,16.1452,107.6896
Huế#Phòng#PA07 ,16.49574,107.5986
Huế#Phòng#PC01 ,16.47548,107.6031
Huế#Phòng#PC11 ,16.42334,107.5887
Huế#Phòng#PC10 ,16.46767,107.5938
Huế#Phòng#PC08 (CS1) ,16.45136,107.6125
Huế#Phòng#Trại giam Bình Điền (C10),16.36139,107.4842
Huế#Phòng#PC06 (54 Hùng Vương) ,16.46196,107.5961
Huế#Phòng#Trung tâm SHLX PC08 ,16.40444,107.6318
Huế#Phòng#PC04 (trung tâm cái nghiện) ,16.42841,107.5107
Huế#Phòng#PC07 (52 Hùng Vương) ,16.4625,107.5951
Huế#Phòng#Trạm CSGT Phú Lộc ,16.30845,107.7927
Huế#Phòng#Nhà Ga Sân bay Phú Bài ,16.39632,107.7031
Đà Nẵng#TTCMKV#TT1 Đà Nẵng,16.07756,108.2192
Đà Nẵng#TTCMKV#Cẩm Lệ,16.01692,108.2035
Quảng Nam#TTCMKV#Điện Bàn,15.88756,108.254
Quảng Nam#TTCMKV#Hội An,15.88074,108.3319
Đà Nẵng#TTCMKV#Ngũ Hành Sơn,16.01516,108.2544
Đà Nẵng#TTCMKV#Sơn Trà,16.0701,108.2336
Đà Nẵng#TTCMKV#Liên Chiểu,16.07427,108.1583
Đà Nẵng#TTCMKV#Hòa Vang,15.9881,108.1402
Quảng Nam#TTCMKV#TT2 Tam Kỳ,15.57447,108.4746
Quảng Nam#TTCMKV#CAX Tiên Sơn (Tiên Phước),15.57462,108.2783
Quảng Nam#TTCMKV#Quế Sơn,15.67102,108.2128
Quảng Nam#TTCMKV#Đại Lộc,15.88297,108.1158
Quảng Nam#TTCMKV#Phước Sơn,15.44399,107.7953
Quảng Nam#TTCMKV#Nam Giang,15.7445,107.8319
Quảng Nam#TTCMKV#Đông Giang,15.9234,107.6487
Quảng Nam#TTCMKV#Trại giam An Điềm (C10),15.87388,107.8807
Quảng Nam#TTCMKV#Duy Xuyên,15.82266,108.2464
Quảng Nam#TTCMKV#Thăng Bình,15.73582,108.3517
Quảng Nam#TTCMKV#Hiệp Đức,15.58207,108.1153
Quảng Nam#TTCMKV#Bắc Trà My,15.33884,108.2218
Quảng Nam#TTCMKV#Phú Ninh,15.55405,108.4115
Đà Nẵng#Phòng#PK02,16.04673,108.1571
Đà Nẵng#Phòng#Trại giam CATP,16.07797,108.1151
Đà Nẵng#Phòng#Trạm CSGT Hòa Nhơn,16.00665,108.1495
Đà Nẵng#Phòng#PC08,16.00757,108.2176
Đà Nẵng#Phòng#PC07,16.03569,108.213
Đà Nẵng#Phòng#PX04,16.06706,108.2201
Đà Nẵng#Phòng#PA07,16.07437,108.2226
Đà Nẵng#Phòng#PA06,16.0661,108.2218
Đà Nẵng#Phòng#Trạm CSGT Hòa Hiệp,16.14062,108.1196
Quảng Nam#Phòng#PK02,15.58243,108.4643
Quảng Nam#Phòng#PC11,15.55858,108.45
Quảng Nam#Phòng#PC08,15.57878,108.4725
Quảng Nam#Phòng#PC06,15.56375,108.4814
Quảng Nam#Phòng#PC07,15.57504,108.4772
Quảng Nam#Phòng#PA08,15.88074,108.3319
Quảng Nam#Phòng#PA06,15.58103,108.4692
Đà Nẵng#Phòng#Đồn Công an cảng hàng không (Sân bay Đà Nẵng),16.05277,108.2032
"Đà Nẵng#Phòng#Cơ sở cai nghiện (X. Hòa Bắc, Hòa Vang)",16.1427,108.026
"Quảng Nam#Phòng#Đội An ninh hàng không (TT. Núi Thành, Núi Thành)",15.43312,108.6605
"Quảng Nam#Phòng#Cơ sở cai nghiện (X. Sông Trà, Hiệp Đức)",15.54217,108.0497
"Quảng Nam#Phòng#Trạm CSGT Thăng Bình (X. Bình Phục, Thăng Bình)",15.72009,108.3759
"Quảng Nam#Phòng#Đội CSĐT (X. Duy Nghĩa, Duy Xuyên)",15.85362,108.3609
Quảng Ngãi#TTCMKV#TT1 Quảng Ngãi,15.121,108.7921
Quảng Ngãi#TTCMKV#Sơn Hà,15.04124,108.4697
Quảng Ngãi#TTCMKV#Sơn Tây,15.01346,108.3297
Quảng Ngãi#TTCMKV#Trà Bồng,15.25551,108.5177
Quảng Ngãi#TTCMKV#Bình Sơn,15.29712,108.7621
Quảng Ngãi#TTCMKV#Minh Long,14.93306,108.7041
Quảng Ngãi#TTCMKV#Ba Tơ,14.76398,108.7332
