Name,Lat,Lon
Quảng Trị#TTCMKV#TT2 Quảng Trị,16.79036,107.1043
Quảng Trị#TTCMKV#TX Quảng Trị,16.73942,107.1883
Quảng Trị#TTCMKV#Hải Lăng,16.69184,107.2455
Quảng Trị#TTCMKV#Đăk Rông,16.6945,106.8796
Quảng Trị#TTCMKV#Cam Lộ,16.80733,106.9927
Quảng Trị#TTCMKV#Vĩnh Linh,17.06196,107.0116
Huế#TTCMKV#CAT TT Huế mới,16.47699,107.6256
Huế#TTCMKV#Phú Vang ,16.44,107.7165
Huế#TTCMKV#Phú Lộc ,16.277,107.8626
Huế#TTCMKV#Hương Thủy ,16.4092,107.6814
Huế#TTCMKV#Quảng Điền ,16.56874,107.5136
Huế#TTCMKV#Phong Điền ,16.5703,107.3823
Đà Nẵng#TTCMKV#TT1 Đà Nẵng,16.07756,108.2192
Đà Nẵng#TTCMKV#Cẩm Lệ,16.01692,108.2035
Quảng Nam#TTCMKV#Điện Bàn,15.88756,108.254
Quảng Nam#TTCMKV#Hội An,15.88074,108.3319
Đà Nẵng#TTCMKV#Ngũ Hành Sơn,16.01516,108.2544
Đà Nẵng#TTCMKV#Sơn Trà,16.0701,108.2336
Đà Nẵng#TTCMKV#Liên Chiểu,16.07427,108.1583
Đà Nẵng#TTCMKV#Hòa Vang,15.9881,108.1402
Quảng Nam#TTCMKV#TT2 Tam Kỳ,15.57447,108.4746
Quảng Nam#TTCMKV#CAX Tiên Sơn (Tiên Phước),15.57462,108.2783
Quảng Nam#TTCMKV#Quế Sơn,15.67102,108.2128
Quảng Nam#TTCMKV#Đại Lộc,15.88297,108.1158
Quảng Nam#TTCMKV#Phước Sơn,15.44399,107.7953
Quảng Nam#TTCMKV#Nam Giang,15.7445,107.8319
Quảng Nam#TTCMKV#Đông Giang,15.9234,107.6487
Quảng Nam#TTCMKV#Trại giam An Điềm (C10),15.87388,107.8807
Quảng Nam#TTCMKV#Duy Xuyên,15.82266,108.2464
Quảng Nam#TTCMKV#Thăng Bình,15.73582,108.3517
Quảng Nam#TTCMKV#Hiệp Đức,15.58207,108.1153
Quảng Nam#TTCMKV#Bắc Trà My,15.33884,108.2218
Quảng Nam#TTCMKV#Phú Ninh,15.55405,108.4115
Quảng Ngãi#TTCMKV#TT1 Quảng Ngãi,15.121,108.7921
Quảng Ngãi#TTCMKV#Sơn Hà,15.04124,108.4697
Quảng Ngãi#TTCMKV#Sơn Tây,15.01346,108.3297
Quảng Ngãi#TTCMKV#Trà Bồng,15.25551,108.5177
Quảng Ngãi#TTCMKV#Bình Sơn,15.29712,108.7621
Quảng Ngãi#TTCMKV#Minh Long,14.93306,108.7041
Quảng Ngãi#TTCMKV#Ba Tơ,14.76398,108.7332
Quảng Ngãi#TTCMKV#Đức Phổ,14.81137,108.9595
Kon Tum#TTCMKV#TT2 Kon Tum,14.353,108.0079
Kon Tum#TTCMKV#Đăk Hà,14.49126,107.9251
Kon Tum#TTCMKV#Ngọc Hồi,14.72453,107.6878
Kon Tum#TTCMKV#Sa Thầy,14.39803,107.7961
Kon Tum#TTCMKV#Kon Rẫy,14.47389,108.1771
Kon Tum#TTCMKV#CAX Đăk Kôi (Kon Rẫy),14.53716,108.1755
Kon Tum#TTCMKV#Tu Mơ Rông,14.81661,107.9456
Kon Tum#TTCMKV#Đăk Tô,14.65984,107.84
Bình Định#TTCMKV#TT1 Gia Lai ,13.76939,109.2255
Bình Định#TTCMKV#Cát Tiến ,13.94878,109.2362
Bình Định#TTCMKV#Phù Mỹ ,14.16886,109.0487
Bình Định#TTCMKV#Hoài Ân ,14.36452,108.9684
Bình Định#TTCMKV#Vĩnh Kim ,14.33585,108.7527
Bình Định#TTCMKV#Vĩnh Thạnh ,14.10667,108.7864
Bình Định#TTCMKV#Tây Sơn ,13.90838,108.9165
Bình Định#TTCMKV#An Nhơn ,13.88684,109.1105
Bình Định#TTCMKV#Vân Canh ,13.6227,108.9974
Gia Lai#TTCMKV#TT2 Gia Lai ,13.97629,107.9924
Gia Lai#TTCMKV#IA Grai ,13.9614,107.8535
Gia Lai#TTCMKV#Đức Cơ ,13.79392,107.6721
Gia Lai#TTCMKV#Chư Prông ,13.75394,107.8899
Gia Lai#TTCMKV#Chư Pưh ,13.54633,108.1052
Gia Lai#TTCMKV#Hàm Rồng ,13.88617,108.0142
Gia Lai#TTCMKV#Chư Sê ,13.69211,108.0804
Gia Lai#TTCMKV#Phú Thiện ,13.51972,108.312
Gia Lai#TTCMKV#IA Pa ,13.51174,108.4632
Gia Lai#TTCMKV#Kông Chro ,13.77844,108.5287
Gia Lai#TTCMKV#An Khê ,13.95356,108.6551
Gia Lai#TTCMKV#Đắk Pơ ,13.96792,108.5461
Gia Lai#TTCMKV#Mang Yang ,14.04351,108.2541
Đăk Lăk#TTCMKV#TT1 Đăk Lăk,12.6843,108.0528
Đăk Lăk#TTCMKV#Cư M'ga,12.822619,108.07808
Đăk Lăk#TTCMKV#Buôn Hồ,12.916187,108.26651
Đăk Lăk#TTCMKV#Ea H'Leo,13.21291,108.2031
Đăk Lăk#TTCMKV#Ea Súp,13.07153,107.88617
Đăk Lăk#TTCMKV#Buôn Đôn,12.80383,107.9027
Đăk Lăk#TTCMKV#KRông Păk,12.709999,108.30444
Đăk Lăk#TTCMKV#Trại giam Đăk Tân (C10),12.84253,108.6446
Đăk Lăk#TTCMKV#M' Đrăk,12.74985,108.7424
Đăk Lăk#TTCMKV#Ea Kar,12.81206,108.4837
Đăk Lăk#TTCMKV#KRông Năng,12.951746,108.34468
Đăk Lăk#TTCMKV#KRông Ana,12.481563,108.03101
Đăk Lăk#TTCMKV#Cư Kuin,12.55998,108.1639
Đăk Lăk#TTCMKV#Lăk,12.40811,108.1828
Đăk Lăk#TTCMKV#KRông Bông,12.50488,108.3307
Phú Yên#TTCMKV#TT2 Tuy Hòa,13.09474,109.293
Phú Yên#TTCMKV#Phú Hòa,13.0231,109.207
Phú Yên#TTCMKV#Sông Hinh,12.97519,108.8997
Phú Yên#TTCMKV#Tây Hòa,13.0008,109.253
