Name,Lat,Lon
Dak Nong#TTCMKV#Công an xã Cư Jút ,12.589000,107.891833
Dak Nong#TTCMKV#Trụ sở Công an xã Đức Lập là trụ sở CAH Đắk Mil (04 Lê Duẫn) - TTCMKV Đắk Mil,12.431694,107.609250
Dak Nong#TTCMKV#Trụ sở Công an xã Tuy Đức là trụ sở CAH Tuy Đức (cũ) - TTCMKV Tuy Đức,12.219056,107.477611
Dak Nong#TTCMKV#Trụ sở Công an xã Kiến Đức là trụ sở CAH Đắk R'Lấp (cũ) - TTCMKV Đắk R'Lấp,12.007167,107.512917
Dak Nong#TTCMKV#Công an xã Đức Lập (Trụ sở 2 CAH Đắk Mil cũ),12.447389,107.621694
Dak Nong#TTCMKV#Công an xã Cư Jút (Trụ sở CAH Cư Jút cũ),12.589,107.8918
Dak Nong#TTCMKV#Công an xã Krông Nô (Trụ sở CAH Krông Nô cũ),12.45631,107.8618
Dak Nong#TTCMKV#Công an xã Quảng Sơn ,12.15544,107.8656
Dak Nong#TTCMKV#Trại tạm giam cơ sở 2,12.00778,107.719
Dak Nong#TTCMKV#Công an tỉnh Lâm Đồng - Trụ sở 2,12.02358,107.686
Dak Nong#TTCMKV#Đội CC&CNCH khu vực 12,12.02358,107.686
Dak Nong#TTCMKV#Công an xã Đức An (Trụ sở CAH Đắk Song cũ),12.25408,107.6094
Dak Nong#TTCMKV#Công an xã Tuy Đức (Trụ sở CAH Tuy Đức cũ),12.21906,107.4776
Dak Nong#TTCMKV#Công an xã Kiến Đức (Trụ sở CAH Đắk R'Lấp cũ),12.00717,107.5129
Dak Nong#TTCMKV#Công an tỉnh Lâm Đồng - TT2,12.02358,107.686
