Name,Lat,Lon,Site ID,Type,Priority
DNCL28,16.01993,108.198,,AGG,1
DNCL03,16.009583,108.174444,,AGG,1
DNCL92,16.023908,108.208655,,AGG,1
DNHC07,16.03716,108.22093,,AGG,1
DNHC17,16.07745,108.21561,,AGG,1
DNHC13,16.05762,108.2205,,AGG,1
DNHV01,15.999806,108.145667,,AGG,1
DNHW02,16.10168,108.09895,,AGG,1
DNHV04,15.97037,108.18099,,AGG,1
DNLC15,16.084137,108.15679,,AGG,1
DNLC30,16.057405,108.16911,,AGG,1
DNNH11,16.04248,108.24477,,AGG,1
DNNH02,16.00281,108.25906,,AGG,1
DNNH12,15.985639,108.239806,,AGG,1
DNST01,16.0804063,108.2359264,,AGG,1
DNST18,16.094028,108.251083,,AGG,1
DNST87,16.06757,108.24173,,AGG,1
DNTK01,16.05868,108.2069,,AGG,1
DNTK16,16.04685,108.18472,,AGG,1
DNTK31,16.07298,108.17773,,AGG,1
QTCL34,16.8097,107.00179,,AGG,1
VNPOST Lương An,16.81594,107.11055,,AGG,1
QTDH14,16.79907,107.12945,,AGG,1
QTGL01,16.942,107.07308,,AGG,1
QTHL25,16.68812,107.26891,,AGG,1
QTQT09,16.73564,107.18719,,AGG,1
QTTP08,16.88189,107.2065,,AGG,1
HUHA01,16.5252,107.47588,,AGG,1
HUPX73,16.45156,107.5304,,AGG,1
HUHA09,16.48623,107.49847,,AGG,1
HUHT01,16.41168,107.67333,,AGG,1
HUHT32,16.43964,107.614,,AGG,1
HUTH01,16.462433,107.59441,,AGG,1
HUHUMA01,16.481683,107.555912,,AGG,1
HUPLMA01,16.339514,107.743756,,AGG,1
HUPLMA02,16.269802,107.8984,,AGG,1
HUTH1E,16.54695,107.63797,,AGG,1
HUPV48,16.44195,107.77947,,AGG,1
HUPV08,16.49516,107.62916,,AGG,1
QADB46,15.89361,108.24381,,AGG,1
QADB15,15.87936,108.25613,,AGG,1
QADB04,15.88972,108.18124,,AGG,1
QADLMA01,15.88095,108.11899,,AGG,1
QADX35,15.83046,108.37688,,AGG,1
QADX04,15.82922,108.21915,,AGG,1
QAHA02,15.90245084,108.3546292,,AGG,1
QAHA06,15.89214,108.32104,,AGG,1
QANT01,15.414173,108.6757609,,AGG,1
QANT03,15.46107301,108.603811,,AGG,1
QAQS05,15.78838,108.32133,,AGG,1
QAQS06,15.82296,108.29238,,AGG,1
QATB03,15.77736,108.42229,,AGG,1
QATB_newsite 2,15.745207,108.359478,,AGG,1
QATB35,15.65546,108.50342,,AGG,1
QATB31,15.6512,108.42046,,AGG,1
QATK71,15.579387,108.473777,,AGG,1
QATKMA01,15.565,108.4933,,AGG,1
BDANMA01,13.869726,109.127244,,AGG,1
BDANMA02,13.91304,109.09734,,AGG,1
BDPC03,13.98828,109.05901,,AGG,1
BDPCMA01,14.1304,109.16472,,AGG,1
BDPM27,14.17696,109.04533,,AGG,1
BDQN31,13.751902,109.210256,,AGG,1
BDQNMA01,13.784365,109.214922,,AGG,1
BDTPMA01,13.806576,109.147439,,AGG,1
BDTP04,13.86549,109.18761,,AGG,1
QNBS26,15.30152,108.82293,,AGG,1
QNBS23,15.30476,108.75588,,AGG,1
QNMD25,14.95053,108.88331,,AGG,1
QNNH21,15.04501,108.78833,,AGG,1
QNQN2J,15.132932,108.795251,,AGG,1
QNQN02,15.121807,108.768932,,AGG,1
QNQN78,15.187291,108.885475,,AGG,1
QNST02,15.20067,108.79055,,AGG,1
QNTN05,15.05898,108.84332,,AGG,1
QNTN_Newsite1,15.0895363,108.8279395,,AGG,1
BDHN15,14.5565,109.04516,,AGG,1
BDHN33,14.42824,109.01024,,AGG,1
BDPM34,14.32376,109.14698,,AGG,1
KHCL47,12.06328,109.1601,,AGG,1
KHCLMA01,12.0797305,109.1809846,,AGG,1
KHCL23,12.1537068,109.0672539,,AGG,1
KHCL03,11.99699,109.12421,,AGG,1
KHCR52,11.91386,109.15332,,AGG,1
KHCR02,11.99082,109.1935,,AGG,1
KHDKMA01,12.2572477,109.1071688,,AGG,1
KHDK25,12.26144,109.03792,,AGG,1
