BS_Name,BS_Lat,BS_Lon,Nearest_Router_Name,Nearest_Router_Lat,Nearest_Router_Lon,Route_Distance_KM,Status
2628-BD001,13.795563,109.208394,CSG-BDQN21,13.79013,109.21804,1.5534000000000001,Success
2628-BD002,13.83965,109.267939,CSG-BDQN73,13.85191,109.25491,2.752,Success
2628-BD003,13.79497818,109.1633013,CSG-BDQN58,13.794076,109.154071,1.0165,Success
2628-BD004,13.763661,109.21281,CSG-BDQN33,13.762723,109.209894,0.3991,Success
2628-BD005,13.69423984,109.1760951,N/A,N/A,N/A,N/A,No router in radius
2628-BD006,14.65459922,109.0078914,N/A,N/A,N/A,N/A,No router in radius
2628-BD007,13.852477,109.073686,CSG-BDAN11,13.85612,109.05981,1.8893,Success
2628-BD008,13.943028,109.24034,N/A,N/A,N/A,N/A,No router in radius
2628-BD009,14.5692941,109.0146017,N/A,N/A,N/A,N/A,No router in radius
2628-BD010,13.552673,109.019891,N/A,N/A,N/A,N/A,No router in radius
2628-BD011,14.258113,109.016028,N/A,N/A,N/A,N/A,No router in radius
2628-BD012,14.32091976,108.9792546,N/A,N/A,N/A,N/A,No router in radius
2628-BD013,13.76266784,109.1245443,N/A,N/A,N/A,N/A,No router in radius
2628-BD014,13.827877,109.093917,N/A,N/A,N/A,N/A,No router in radius
2628-BD015,13.76969,109.225913,CSG-BDQN90,13.767781,109.223002,0.5856,Success
2628-BD016,13.920345,109.091889,CSG-BDAN02,13.9251,109.08839,0.6577000000000001,Success
2628-BD017,14.305745,109.073001,CSG-BDPM10,14.31623,109.06556,1.9293,Success
2628-BD018,13.881334,109.249515,N/A,N/A,N/A,N/A,No router in radius
2628-BD019,13.80552801,109.2141617,CSG-BDQN21,13.79013,109.21804,4.259399999999999,Success
2628-BD020,13.61201,108.998212,N/A,N/A,N/A,N/A,No router in radius
2628-BD021,13.724996,109.128527,N/A,N/A,N/A,N/A,No router in radius
2628-BD022,14.264902,109.078623,N/A,N/A,N/A,N/A,No router in radius
2628-BD023,14.13546341,109.202426,N/A,N/A,N/A,N/A,No router in radius
2628-BD024,14.16990461,109.0304683,CSG-BDPM27,14.17696,109.04533,3.3105,Success
2628-BD025,13.89778134,109.1921695,N/A,N/A,N/A,N/A,No router in radius
2628-BD026,13.856864,109.200017,CSG-BDTP04,13.86549,109.18761,2.7831,Success
2628-BD027,13.879231,109.192519,CSG-BDTP04,13.86549,109.18761,1.7541,Success
2628-BD028,13.768175,109.203343,CSG-BDQN33,13.762723,109.209894,1.8023,Success
2628-BD029,13.88763291,109.2493063,N/A,N/A,N/A,N/A,No router in radius
2628-BD030,13.815179,109.146333,CSG-BDTP_newsite3,13.807947,109.14699,0.899,Success
2628-BD031,13.760425,109.208827,CSG-BDQN33,13.762723,109.209894,0.4156,Success
2628-BD032,13.781149,109.224704,CSG-BDQN39,13.78153,109.228,0.4561,Success
2628-BD033,13.85279614,109.1891601,CSG-BDTP10,13.84043,109.19265,1.5035,Success
2628-BD034,13.80966607,109.1631955,CSG-BDTP02,13.819584,109.174725,2.36,Success
2628-BD035,13.81446164,109.1887677,CSG-BDTP02,13.819584,109.174725,2.4852,Success
2628-BD036,13.90339665,109.0331516,CSG-BDAN07,13.909714,109.018394,2.333,Success
2628-BD037,13.836193,109.215076,N/A,N/A,N/A,N/A,No router in radius
2628-BD038,13.773006,109.232442,CSG-BDQN98,13.77057,109.23167,0.3443,Success
2628-BD040,13.88617694,109.1206144,CSG-BDAN28,13.88265,109.10948,2.082,Success
2628-BD041,13.8884,109.27199,N/A,N/A,N/A,N/A,No router in radius
2628-BD042,13.792809,109.105869,N/A,N/A,N/A,N/A,No router in radius
2628-BD043,13.728969,109.159852,CSG-BDQN45,13.720978,109.161419,1.0148,Success
2628-BD044,13.734306,109.116496,N/A,N/A,N/A,N/A,No router in radius
2628-BD045,13.779976,109.157708,CSG-BDQN56,13.77969,109.1494,1.0021,Success
2628-BD046,13.766421,109.160899,CSG-BDQN56,13.77969,109.1494,3.4516999999999998,Success
2628-BD047,13.788917,109.158487,CSG-BDQN58,13.794076,109.154071,1.1332,Success
2628-BD048,13.794913,109.148399,CSG-BDQN58,13.794076,109.154071,1.2263,Success
2628-BD049,13.790911,109.174762,CSG-BDQN54,13.79656,109.1725,2.7472,Success
2628-BD050,13.779438,109.185038,CSG-BDQN40,13.784151,109.180137,0.9234,Success
2628-BD051,13.780819,109.190075,CSG-BDQN40,13.784151,109.180137,1.6985999999999999,Success
2628-BD052,13.777762,109.201444,CSG-BDQN16,13.78948,109.19601,2.2414,Success
2628-BD053,13.752156,109.206929,CSG-BDQN31,13.751902,109.210256,0.6715,Success
2628-BD054,13.677425,109.233207,N/A,N/A,N/A,N/A,No router in radius
2628-BD055,13.767449,109.214081,CSG-BDQN61,13.767403,109.21213,0.2702,Success
2628-BD056,13.771963,109.217375,CSG-BDQN35,13.77036,109.21568,0.2694,Success
2628-BD057,13.774566,109.219243,CSG-BDQN35,13.77036,109.21568,0.6376000000000001,Success
2628-BD058,13.766227,109.209077,CSG-BDQN61,13.767403,109.21213,0.437,Success
2628-BD059,13.902961,109.259271,N/A,N/A,N/A,N/A,No router in radius
2628-BD060,13.852395,109.273305,CSG-BDQN73,13.85191,109.25491,7.3602,Success
2628-BD061,13.785248,109.211056,CSG-BDQN37,13.78401,109.21408,0.38980000000000004,Success
2628-BD062,13.848365,109.135873,CSG-BDTP29,13.84005,109.14101,2.0943,Success
2628-BD063,13.84028,109.153943,CSG-BDTP20,13.83163,109.15785,1.6025,Success
2628-BD064,13.833963,109.166844,CSG-BDTP17,13.82664,109.16555,1.172,Success
2628-BD065,13.868072,109.136959,CSG-BDANMA01,13.869726,109.127244,1.8876,Success
2628-BD066,13.830309,109.143747,CSG-BDTP29,13.84005,109.14101,1.3300999999999998,Success
2628-BD067,13.953211,109.135108,N/A,N/A,N/A,N/A,No router in radius
2628-BD068,13.851087,109.02211,N/A,N/A,N/A,N/A,No router in radius
2628-BD069,13.866497,108.996079,N/A,N/A,N/A,N/A,No router in radius
2628-BD070,14.00584411,109.0078576,N/A,N/A,N/A,N/A,No router in radius
2628-BD071,14.111896,109.198074,N/A,N/A,N/A,N/A,No router in radius
2628-BD072,13.997975,109.245405,CSG-BDPC06,14.0124,109.241,3.9831,Success
2628-BD073,14.072474,109.211135,N/A,N/A,N/A,N/A,No router in radius
2628-BD074,14.180606,109.18102,N/A,N/A,N/A,N/A,No router in radius
2628-BD075,14.251991,109.186329,N/A,N/A,N/A,N/A,No router in radius
2628-BD077,14.35132,109.119654,CSG-BDPM19,14.33584,109.12198,14.070799999999998,Success
2628-BD079,14.178118,109.053873,CSG-BDPM27,14.17696,109.04533,1.4051,Success
2628-BD080,14.11961,109.033444,CSG-BDPM04,14.11979,109.04575,1.5488,Success
2628-BD082,14.144222,109.029256,N/A,N/A,N/A,N/A,No router in radius
2628-BD083,14.292183,109.037473,N/A,N/A,N/A,N/A,No router in radius
2628-BD084,14.425425,109.113746,N/A,N/A,N/A,N/A,No router in radius
2628-BD085,14.402998,109.120384,N/A,N/A,N/A,N/A,No router in radius
2628-BD086,14.43443,109.117009,N/A,N/A,N/A,N/A,No router in radius
2628-BD087,14.49498,109.086956,N/A,N/A,N/A,N/A,No router in radius
2628-BD088,14.504507,109.084466,N/A,N/A,N/A,N/A,No router in radius
2628-BD089,14.513285,109.079637,CSG-BDHN12,14.52105,109.07583,1.0754000000000001,Success
2628-BD090,14.551878,109.067528,CSG-BDHN36,14.54229,109.06412,1.836,Success
2628-BD091,14.567994,109.064345,CSG-BDHN42,14.55938,109.05563,2.1266,Success
2628-BD093,14.51678237,109.0246389,N/A,N/A,N/A,N/A,No router in radius
2628-BD094,14.50280106,109.0248195,CSG-BDHN08,14.49578,109.03394,2.7457,Success
2628-BD095,14.345247,109.04438,N/A,N/A,N/A,N/A,No router in radius
2628-BD096,13.734854,109.209792,CSG-BDQN31,13.751902,109.210256,2.2289,Success
2628-BD097,13.701987,109.222457,N/A,N/A,N/A,N/A,No router in radius
2628-BD098,13.791352,109.20056,CSG-BDQN16,13.78948,109.19601,0.8357,Success
2628-BD099,13.800351,109.192929,CSG-BDQN16,13.78948,109.19601,1.9370999999999998,Success
