Name,Lat,Lon
Dak Nong#Phòng#Phòng PC07 - Đội CC&CNCH khu vực 15,12.590046,107.890839
Dak Nong#CAX#Công an xã Đắk Wil ,12.700083,107.826444
Dak Nong#CAX#Công an xã Nam Dong ,12.650222,107.873528
Dak Nong#CAX#Công an xã Đắk Mil ,12.509472,107.749028
Dak Nong#Phòng#Phòng PC08 - Đội CSGT số 4,12.452028,107.625111
Dak Nong#Phòng#Phòng PC07 - Đội CC&CNCH khu vực 14,12.459472,107.613278
Dak Nong#CAX#Công an xã Nam Đà ,12.484972,107.869000
Dak Nong#Phòng#Phòng PC08 - Đội CSGT Đường bộ số 4 - I,12.465408,107.8657316
Dak Nong#CAX#Công an xã Nâm Nung  ,12.398750,107.830139
Dak Nong#CAX#Công an xã Quảng Phú  ,12.305167,107.971056
Dak Nong#CAX#Công an xã Quảng Hòa  ,12.175222,108.107917
Dak Nong#CAX#Công an xã Đắk Sắk  ,12.428417,107.668556
Dak Nong#CAX#Công an xã Đắk Song  ,12.401083,107.645500
Dak Nong#CAX#Công an xã Thuận An  ,12.431694,107.609250
Dak Nong#Phòng#Phòng PC02 - Tổ địa bàn số 2,12.411970,107.580073
Dak Nong#CAX#Đội CSGT Đường bộ số 4 - II (trụ sở công an thị trấn đức an),12.254917,107.608667
Dak Nong#CAX#Công an xã Trường Xuân  ,12.102472,107.654444
Dak Nong#CAX#Công an xã Thuận Hạnh  ,12.244444,107.532278
Dak Nong#CAX#Công an xã Quảng Trực  ,12.263944,107.378000
Dak Nong#CAX#Đội CSGT Đường bộ số 6,12.211309,107.465248
Dak Nong#CAX#Cơ sở cai nghiện Ma Túy số 4 tỉnh Lâm Đồng,12.095351,107.481352
Dak Nong#CAX#Công an xã Quảng Tân  ,12.044639,107.490278
Dak Nong#CAX#Đội CC&CNCH khu vực 13,12.006499,107.513687
Dak Nong#CAX#Công an xã Quảng Tín  ,11.912556,107.398806
Dak Nong#CAX#Đồn CA KCN Nhân Cơ,11.975583,107.581750
Dak Nong#CAX#Công an Xã Nhân Cơ  ,11.981056,107.588278
Dak Nong#CAX#Công an phường Bắc Gia Nghĩa  ,12.009000,107.694556
Dak Nong#CAX#Công an phường Đông Gia Nghĩa  ,11.959972,107.728583
Dak Nong#CAX#Công an phường Nam Gia Nghĩa  ,12.000556,107.676333
Dak Nong#CAX#Công an xã Kiến Đức ,12.007167,107.512917
Dak Nong#CAX#Công an xã Quảng Khê ,11.911861,107.791278
Dak Nong#CAX#Công an xã Tà Đùng  ,12.070944,107.911889
Dak Nong#Phòng#Phòng PC08 - Tổ địa bàn số 2,12.000977,107.677811
Dak Nong#Phòng#Phòng PX01-Trung tâm huấn luyện - TS-02,11.977967,107.676428
Dak Nong#Phòng#Phòng PC10 - Tổ địa bàn số 2,11.97736,107.6709
Dak Nong#Phòng#Phòng PK02 - Tổ địa bàn số 2,11.982665,107.655628
Dak Nong#Phòng#Phòng PA06 - Tổ địa bàn số 2,11.992128,107.665195
