Name,Lat,Lon,Site ID,Type,Priority
DNCL03,16.009583,108.174444,,CSG,2
DNCL04,16.05701,108.17522,,CSG,2
DNCL06,16.02153,108.21487,,CSG,2
DNCL07,16.02708,108.21301,,CSG,2
DNCL08,16.0347,108.21336,,CSG,2
DNCL09,16.03661,108.20921,,CSG,2
DNCL12,16.006349,108.1905407,,CSG,2
DNCL15,16.02561,108.18761,,CSG,2
DNCL18,16.02548,108.20952,,CSG,2
DNCL24,16.00206,108.21279,,CSG,2
DNCL28,16.01993,108.198,,CSG,2
DNCL30,16.01206,108.20144,,CSG,2
DNCL31,16.04747,108.17698,,CSG,2
DNCL56,16.01077,108.22035,,CSG,2
DNCL92,16.023908,108.208655,,CSG,2
DNHC01,16.06398,108.2142,,CSG,2
DNHC02,16.0648227,108.2230842,,CSG,2
DNHC05,16.04609,108.21013,,CSG,2
DNHC07,16.03716,108.22093,,CSG,2
DNHC11,16.030986,108.225064,,CSG,2
DNHC13,16.05762,108.2205,,CSG,2
DNHC14,16.04552,108.21972,,CSG,2
DNHC15,16.049,108.217111,,CSG,2
DNHC16,16.07118,108.22124,,CSG,2
DNHC17,16.07745,108.21561,,CSG,2
DNHC20,16.0746,108.20979,,CSG,2
DNHC23,16.06194,108.22153,,CSG,2
DNHC24,16.079285,108.221358,,CSG,2
DNHC28,16.076546,108.2199,,CSG,2
DNHC29,16.05061,108.21418,,CSG,2
DNHC30,16.0415,108.21228,,CSG,2
DNHC34,16.05341,108.206081,,CSG,2
DNHC36,16.03128,108.23047,,CSG,2
DNHC38,16.08044,108.21573,,CSG,2
DNHC40,16.07437,108.21742,,CSG,2
DNHC46,16.039222,108.217583,,CSG,2
DNHC47,16.0435748,108.208936,,CSG,2
DNHC48,16.02882,108.22079,,CSG,2
DNHC49,16.03479,108.21748,,CSG,2
DNHC50,16.075659,108.222119,,CSG,2
DNHC54,16.04813,108.20838,,CSG,2
DNHC55,16.05349,108.22142,,CSG,2
DNHC57,16.03456,108.2234,,CSG,2
DNHC60,16.08183,108.22022,,CSG,2
DNHC61,16.04153,108.21908,,CSG,2
DNHC64,16.0548,108.21626,,CSG,2
DNHC75,16.08204,108.21335,,CSG,2
DNHC77,16.06561,108.21655,,CSG,2
DNHV01,15.999806,108.145667,,CSG,2
DNHV02,15.9475,108.219111,,CSG,2
DNHV04,15.97037,108.18099,,CSG,2
DNHV08,15.94787,108.1411,,CSG,2
DNHV10,16.02858,108.11223,,CSG,2
DNHV12,15.98037,108.20771,,CSG,2
DNHV13,15.96875,108.13869,,CSG,2
DNHV16,15.97351,108.10279,,CSG,2
DNHV20,15.97782,108.17337,,CSG,2
DNHV22,15.98523,108.18906,,CSG,2
DNHV26,15.960972,108.208056,,CSG,2
DNHV29,15.946556,108.179833,,CSG,2
DNHV30,15.957389,108.164694,,CSG,2
DNHV34,15.99919,108.12607,,CSG,2
DNHV36,15.991778,108.207528,,CSG,2
DNHV41,15.98217,108.15899,,CSG,2
DNHV44,15.96325,108.12164,,CSG,2
DNHV52,15.97569,108.1996,,CSG,2
DNHW03,16.06129,108.10001,,CSG,2
DNHW04,15.986917,108.074056,,CSG,2
DNHW05,16.052361,108.079556,,CSG,2
DNHW06,16.08476,108.09725,,CSG,2
DNHW13,16.02347,108.06766,,CSG,2
DNHW22,16.06993,108.10842,,CSG,2
DNHW23,16.11111,108.08781,,CSG,2
DNLC02,16.06294,108.16049,,CSG,2
DNLC04,16.07647,108.127625,,CSG,2
DNLC06,16.05041,108.15325,,CSG,2
DNLC07,16.09007,108.14254,,CSG,2
DNLC11,16.12094,108.11696,,CSG,2
DNLC13,16.10014,108.13362,,CSG,2
DNLC16,16.07304,108.15131,,CSG,2
DNLC18,16.06392,108.15302,,CSG,2
DNLC19,16.07061,108.15487,,CSG,2
DNLC1A,16.062934,108.169783,,CSG,2
DNLC1P,16.081936,108.146558,,CSG,2
DNLC21,16.05435,108.15813,,CSG,2
DNLC22,16.109353,108.129976,,CSG,2
DNLC23,16.05816,108.16334,,CSG,2
DNLC25,16.07936,108.15781,,CSG,2
DNLC32,16.0678,108.14736,,CSG,2
DNLC36,16.07482,108.13389,,CSG,2
DNLC40,16.07306,108.16601,,CSG,2
DNLC99,16.074329,108.170791,,CSG,2
DNNH06,16.02511,108.24957,,CSG,2
DNNH13,16.049,108.238444,,CSG,2
DNNH15,15.981583,108.274639,,CSG,2
DNNH17,16.02766,108.24499,,CSG,2
DNNH18,15.99568,108.23896,,CSG,2
DNNH19,16.05275,108.240333,,CSG,2
DNNH21,16.047511,108.236615,,CSG,2
DNNH23,15.98891,108.26952,,CSG,2
DNNH24,15.98215,108.26955,,CSG,2
DNNH25,15.982207,108.250315,,CSG,2
