Tuyến cáp,lat1,lon1,lat2,lon2,Desc
Đà Nẵng#TTCMKV#Cẩm Lệ-DNCL09,1 6.01692,108.2035,16.03661,108.20921,DNCL28-DNCL09
Đà Nẵng#TTCMKV#Liên Chiểu-DNTK31,16.07427,108.1583,16.07298,108.17773,DNLC15-DNTK31
Đà Nẵng#TTCMKV#Liên Chiểu-Đà Nẵng#CAX#Liên Chiểu,16.07427,108.1583,16.07665,108.1457,DNLC1P-DNLC15
Đà Nẵng#TTCMKV#Liên Chiểu-DNLC07,16.07427,108.1583,16.09007,108.14254,DNLC07-DNLC15
Đà Nẵng#TTCMKV#Sơn Trà-DNST28,16.0701,108.2336,16.05768,108.24085,DNST87-DNST28
Quảng Trị#TTCMKV#Cam Lộ-Quảng Trị#CAX#Hiếu Giang,16.80733,106.9927,16.80435,107.0406,QTCL13-QTCL34
Quảng Trị#TTCMKV#Cam Lộ-QTCL08,16.80733,106.9927,16.82654,107.00301,QTCL08-QTCL34
Quảng Trị#TTCMKV#Cam Lộ-QTCL09,16.80733,106.9927,16.79332,106.96828,QTCL34-QTCL09
Quảng Trị#TTCMKV#TT2 Quảng Trị-QTCL02,16.79036,107.1043,16.74525,106.9641,QTCL02-QTDH14
Quảng Trị#TTCMKV#TT2 Quảng Trị-Quảng Trị#Phòng#Trung tâm sát hạch lái xe,16.79036,107.1043,16.79029,107.091,QTDH50-QTDH14
Quảng Trị#TTCMKV#TT2 Quảng Trị-Quảng Trị#TTCMKV#TX Quảng Trị,16.79036,107.1043,16.73942,107.1883,QTQT09-QTDH14
Quảng Trị#TTCMKV#Hải Lăng-QTTP08,16.69184,107.2455,16.88189,107.2065,QTTP08-QTHL25
Quảng Trị#TTCMKV#Hải Lăng-Quảng Trị#TTCMKV#TX Quảng Trị,16.69184,107.2455,16.73942,107.1883,QTHL25-QTQT09
Quảng Trị#TTCMKV#Hải Lăng-Quảng Trị#CAX#Mỹ Thủy,16.69184,107.2455,16.72653,107.335,QTHL10-QTHL25
"Quảng Trị#TTCMKV#Hải Lăng-Quảng Trị#Phòng#Phòng PC07, Đội PCCC khu vực Hải lăng",16.69184,107.2455,16.71074,107.2445,QTHL25-QTHL03
Quảng Trị#TTCMKV#Hải Lăng-QTHL06,16.69184,107.2455,16.66435,107.27957,QTHL25-QTHL06
Quảng Trị#TTCMKV#Hải Lăng-QTHL28,16.69184,107.2455,16.69882,107.26566,QTHL25-QTHL28
Quảng Trị#TTCMKV#TX Quảng Trị-Quảng Trị#TTCMKV#Hải Lăng,16.73942,107.1883,16.69184,107.2455,QTHL25-QTQT09
Quảng Trị#TTCMKV#TX Quảng Trị-Quảng Trị#TTCMKV#TT2 Quảng Trị,16.73942,107.1883,16.79036,107.1043,QTQT09-QTDH14
