Tuyến cáp                    , lat1       , lon1       , lat2       , lon2       , Desc,
VNPOST Lương An-QTDH10       ,16.81594,107.1106,16.81659,107.07734," ""07/2024/HĐDV/MOBIFONE-VNPT - Cap thue VNPOST Lương An-QTDH10 - CSG # 4","61 km"""
QTDH10-QTCL13                ,16.81659,107.07734,16.80421,107.04357," ""07/2024/HĐDV/MOBIFONE-VNPT - Cap thue QTDH10-QTCL13 - CSG # 3","95 km"""
QTCL13-QTCL34                ,16.80421,107.04357,16.8097,107.00179," ""07/2024/HĐDV/MOBIFONE-VNPT - Cap thue QTCL13-QTCL34 - CSG # 4","71 km"""
VNPOST Lương An-QTGL03       ,16.81594,107.1106,16.91624,107.17423," ""07/2024/HĐDV/MOBIFONE-VNPT - Cap thue VNPOST Lương An-QTGL03 - CSG # 16","33 km"""
QTGL03-QTGL15                ,16.91624,107.17423,16.96674,107.13804," ""07/2024/HĐDV/MOBIFONE-VNPT - Cap thue QTGL03-QTGL15 - CSG # 9","78 km"""
QTGL15-QTGL12                ,16.96674,107.13804,16.97785,107.09966," ""07/2024/HĐDV/MOBIFONE-VNPT - Cap thue QTGL15-QTGL12 - CSG # 4","6 km"""
QTGL12-QTGL44                ,16.97785,107.09966,16.9664,107.06918," ""07/2024/HĐDV/MOBIFONE-VNPT - Cap thue QTGL12-QTGL44 - CSG # 5","18 km"""
QTGL44-QTGL01                ,16.9664,107.06918,16.942,107.07308," ""07/2024/HĐDV/MOBIFONE-VNPT - Cap thue QTGL44-QTGL01 - CSG # 8","19 km"""
VNPOST Lương An-QTGL07       ,16.81594,107.1106,16.87479,107.13379," ""07/2024/HĐDV/MOBIFONE-VNPT - Cap thue VNPOST Lương An-QTGL07 - CSG # 11","44 km"""
QTGL07-QTGL25                ,16.87479,107.13379,16.892,107.15929," ""07/2024/HĐDV/MOBIFONE-VNPT - Cap thue QTGL07-QTGL25 - CSG # 3","85 km"""
QTGL25-QTGL13                ,16.892,107.15929,16.90969,107.12424," ""07/2024/HĐDV/MOBIFONE-VNPT - Cap thue QTGL25-QTGL13 - CSG # 4","84 km"""
QTGL13-QTGL01                ,16.90969,107.12424,16.942,107.07308," ""07/2024/HĐDV/MOBIFONE-VNPT - Cap thue QTGL13-QTGL01 - CSG # 7","09 km"""
VNPOST Lương An-QTDH31       ,16.81594,107.1106,16.82874,107.09627," ""07/2024/HĐDV/MOBIFONE-VNPT - Cap thue VNPOST Lương An-QTDH31 - CSG # 2","63 km"""
QTDH31-QTCL12                ,16.82874,107.09627,16.84258,107.0819," ""07/2024/HĐDV/MOBIFONE-VNPT - Cap thue QTDH31-QTCL12 - CSG # 2","2 km"""
QTCL12-QTGL05                ,16.84258,107.0819,16.88782,107.08068," ""07/2024/HĐDV/MOBIFONE-VNPT - Cap thue QTCL12-QTGL05 - CSG # 5","38 km"""
QTGL05-QTGL01                ,16.88782,107.08068,16.942,107.07308," ""07/2024/HĐDV/MOBIFONE-VNPT - Cap thue QTGL05-QTGL01 - CSG # 5","9 km"""
QTGL01-QTGL10                ,16.942,107.07308,16.92644,107.05021," ""07/2024/HĐDV/MOBIFONE-VNPT - Cap thue QTGL01-QTGL10 - CSG # 4","1 km"""
QTGL10-QTGL08                ,16.92644,107.05021,16.92266,107.00392," ""07/2024/HĐDV/MOBIFONE-VNPT - Cap thue QTGL10-QTGL08 - CSG # 5","27 km"""
QTGL08-QTGL04                ,16.92266,107.00392,16.89502,106.99186," ""07/2024/HĐDV/MOBIFONE-VNPT - Cap thue QTGL08-QTGL04 - CSG # 4","86 km"""
QTGL04-QTCL18                ,16.89502,106.99186,16.82524,106.98037," ""07/2024/HĐDV/MOBIFONE-VNPT - Cap thue QTGL04-QTCL18 - CSG # 9","9 km"""
QTCL18-QTCL08                ,16.82524,106.98037,16.82654,107.00301," ""07/2024/HĐDV/MOBIFONE-VNPT - Cap thue QTCL18-QTCL08 - CSG # 3","16 km"""
QTCL08-QTCL34                ,16.82654,107.00301,16.8097,107.00179," ""07/2024/HĐDV/MOBIFONE-VNPT - Cap thue QTCL08-QTCL34 - CSG # 3","98 km"""
QTCL34-QTCL09                ,16.8097,107.00179,16.79332,106.96828," ""07/2024/HĐDV/MOBIFONE-VNPT - Cap thue QTCL34-QTCL09 - CSG # 4","67 km"""
QTCL09-QTCL03                ,16.79332,106.96828,16.7874,106.91548," ""07/2024/HĐDV/MOBIFONE-VNPT - Cap thue QTCL09-QTCL03 - CSG # 5","64 km"""
QTCL03-QTCL06                ,16.7874,106.91548,16.74963,106.92699," ""07/2024/HĐDV/MOBIFONE-VNPT - Cap thue QTCL03-QTCL06 - CSG # 8","06 km"""
QTCL06-QTCL02                ,16.74963,106.92699,16.74525,106.9641," ""07/2024/HĐDV/MOBIFONE-VNPT - Cap thue QTCL06-QTCL02 - CSG # 4","1 km"""
QTCL02-QTDH14                ,16.74525,106.9641,16.79907,107.12945," ""07/2024/HĐDV/MOBIFONE-VNPT - Cap thue QTCL02-QTDH14 - CSG # 25","15 km"""
QTDH17-QTDH08                ,16.81484,107.10338,16.80622,107.10414," ""07/2024/HĐDV/MOBIFONE-VNPT - Cap thue QTDH17-QTDH08 - CSG # 1","5 km"""
QTDH50-QTDH14                ,16.791779,107.090522,16.79907,107.12945," ""07/2024/HĐDV/MOBIFONE-VNPT - Cap thue QTDH50-QTDH14 - CSG # 6","3 km"""
