Name,lat1,lon1,lat2,lon2,Desc
PC08 (xử lý vi phạm)-KHNT3A,12.24807,109.1858,12.24813001,109.18921,FO thuê#VNPT#KHNT60-KHNT3A
NTG Nha Trang cũ-KHNT03,12.27693,109.1884,12.27620001,109.2018,FO thuê#VNPT#KHNT79-KHNT03
Nhà tạm giam Diên Khánh-Suối Hiệp,12.24635,109.0729,12.22102,109.0838,FO thuê#CMC#KHDK13-KHDK06
Suối Hiệp-KHCL23,12.22102,109.0838,12.1537068,109.0672539,FO thuê#CMC#KHDK06-KHCL23
PC11a-KHNT59,12.1757,109.1737,12.2108712,109.1887008,FO thuê#CMC#KHNTMA01-KHNT59
CATP Nha trang cũ-KHNT24,12.24647,109.1894,12.2522001,109.1937001,FO thuê#CMC#KHNT83-KHNT24
PC11a-KHNT1F,12.1757,109.1737,12.1996477,109.1942289,FO thuê#CMC#KHNTMA01-KHNT1F
PC11a-KHNT26,12.1757,109.1737,12.22520174,109.1833831,FO thuê#CMC#KHNTMA01-KHNT26
PA08-PC06,12.24755,109.19,12.24753,109.1896,FO thuê#CMC#KHNT25-KHNT84
PC06-PC08 (xử lý vi phạm),12.24753,109.1896,12.24807,109.1858,FO thuê#CMC#KHNT84-KHNT60
PC08 (xử lý vi phạm)-KHNT24,12.24807,109.1858,12.2522001,109.1937001,FO thuê#CMC#KHNT60-KHNT24
PK02 cs1-NTG Nha Trang cũ,12.27875,109.1889,12.27693,109.1884,FO thuê#CMC#KHNT94-KHNT79
NTG Nha Trang cũ-KHNT28,12.27693,109.1884,12.26617101,109.19621,FO thuê#CMC#KHNT79-KHNT28
Diên Điền-KHNT07,12.27603,109.1203,12.30220011,109.1703001,FO thuê#CMC#KHDK08-KHNT07
Bắc Nha Trang-Nhà nghỉ dưỡng 378 BCA,12.28234,109.1981,12.25676,109.1976,FO thuê#CMC#KHNT88-KHNT1N
Nhà nghỉ dưỡng 378 BCA-Tây Nha Trang,12.25676,109.1976,12.25114,109.1864,FO thuê#CMC#KHNT1N-KHNT17
Tây Nha Trang-KHNT24,12.25114,109.1864,12.2522001,109.1937001,FO thuê#CMC#KHNT17-KHNT24
Bắc Nha Trang-KHNT3Q,12.28234,109.1981,12.29023801,109.205394,FO thuê#CMC#KHNT88-KHNT3Q
PA06 cs2-KHNT68,12.23647,109.1846,12.23434901,109.172642,FO thuê#CMC#KHNT55-KHNT68
NTG Nha Trang cũ-KHNT3G,12.27693,109.1884,12.27834601,109.199733,FO thuê#CMC#KHNT79-KHNT3G
PC08 csc-KHNT3C,12.24904,109.1841,12.2570531,109.1822747,FO thuê#CMC#KHNT05-KHNT3C
PC07-Nha Trang,12.2391,109.1866,12.24928,109.1925,FO thuê#CMC#KHNT90-KHNT4Z
Nhà tạm giam Diên Khánh-KHDK38,12.24635,109.0729,12.245628,109.097118,FO thuê#CMC#KHDK13-KHDK38
Diên Điền-KHDK30,12.27603,109.1203,12.27802,109.12975,FO thuê#CMC#KHDK08-KHDK30
Nhà tạm giam Diên Khánh-KHDK05,12.24635,109.0729,12.25983,109.07202,FO thuê#CMC#KHDK13-KHDK05
PC11a-KHNT74,12.1757,109.1737,12.20345001,109.16021,FO thuê#CMC#KHNTMA01-KHNT74
Bắc Nha Trang-KHNT77,12.28234,109.1981,12.29400101,109.188739,FO thuê#CMC#KHNT88-KHNT77
Cam Phước Đông-KHCR05,11.94161,109.1131,11.94650301,109.092594,FO thuê#CMC#KHCR47-KHCR05
Bắc Cam Ranh-KHCR16,11.9756,109.1961,11.97462501,109.1886701,FO thuê#CMC#KHCR02-KHCR16
Nhà tạm giam Diên Khánh-KHDK10,12.24635,109.0729,12.23483,109.08898,FO thuê#CMC#KHDK13-KHDK10
Nhà tạm giam Diên Khánh-KHDK23,12.24635,109.0729,12.2524949,109.0954765,FO thuê#CMC#KHDK13-KHDK23
Diên Lâm-KHDK17,12.26904,109.0334,12.27189,109.04746,FO thuê#CMC#KHDK25-KHDK17
Suối Hiệp-KHDK28,12.22102,109.0838,12.22351,109.085728,FO thuê#CMC#KHDK06-KHDK28
Diên Lâm-KHDK24,12.26904,109.0334,12.2569,109.0574,FO thuê#CMC#KHDK25-KHDK24
Diên Lâm-KHDK09,12.26904,109.0334,12.26987,109.01763,FO thuê#CMC#KHDK25-KHDK09
Diên Điền-KHDK33,12.27603,109.1203,12.28390901,109.108828,FO thuê#CMC#KHDK08-KHDK33
Bắc Nha Trang-KHNT4A,12.28234,109.1981,12.28893201,109.200351,FO thuê#CMC#KHNT88-KHNT4A
PC11a-KHNT3L,12.1757,109.1737,12.18649,109.158723,FO thuê#CMC#KHNTMA01-KHNT3L
PK02 cs1-KHNT95,12.27875,109.1889,12.26984401,109.18243,FO thuê#CMC#KHNT94-KHNT95
Bắc Nha Trang-KHNT1S,12.28234,109.1981,12.28442601,109.195839,FO thuê#CMC#KHNT88-KHNT1S
PC11a-KHNT4K,12.1757,109.1737,12.17269401,109.184329,FO thuê#CMC#KHNTMA01-KHNT4K
Tây Nha Trang-KHNT3D,12.25114,109.1864,12.25827501,109.190817,FO thuê#CMC#KHNT17-KHNT3D
NTG Nha Trang cũ-KHNT21,12.27693,109.1884,12.28057201,109.194297,FO thuê#CMC#KHNT79-KHNT21
PC07-KHNT4B,12.2391,109.1866,12.2380165,109.1872048,FO thuê#CMC#KHNT90-KHNT4B
PC11a-KHNT4Q,12.1757,109.1737,12.19975101,109.177632,FO thuê#CMC#KHNTMA01-KHNT4Q
Tây Nha Trang-KHNT4M,12.25114,109.1864,12.26323701,109.183618,FO thuê#CMC#KHNT17-KHNT4M
Suối Hiệp-Diên Lâm,12.22102,109.0838,12.26904,109.0334,FO thuê#CMC#KHDK06-KHDK25
PC11a-Suối Hiệp,12.1757,109.1737,12.22102,109.0838,FO thuê#CMC#KHNTMA01-KHDK06
Tây Ninh Hòa-KHNH93,12.54083,109.0075,12.55036,109.02233,FO thuê#CMC#KHNH06-KHNH93
Ninh Hòa-KHNH1C,12.50973,109.1375,12.49985601,109.1339041,FO thuê#CMC#KHNH54-KHNH1C
Ninh Hòa-KHNH96,12.50973,109.1375,12.48898,109.119,FO thuê#CMC#KHNH54-KHNH96
Cam An-KHCL55,11.96294,109.095,11.965597,109.093781,FO thuê#CMC#KHCR27-KHCL55
Cam Ranh-KHCR77,11.92552,109.1637,11.91436,109.14944,FO thuê#CMC#KHCR52-KHCR77
Ninh Hòa-KHNH1E,12.50973,109.1375,12.48759,109.13198,FO thuê#CMC#KHNH54-KHNH1E
PC07-KHNT6D,12.2391,109.1866,12.23900441,109.1861532,FO thuê#CMC#KHNT90-KHNT6D
PC07-KHNT2B,12.2391,109.1866,12.2443602,109.1957346,FO thuê#CMC#KHNT90-KHNT2B
PC07-KHNT1H,12.2391,109.1866,12.2392592,109.191774,FO thuê#CMC#KHNT90-KHNT1H
PA08-KHNT1I,12.24755,109.19,12.2390501,109.181202,FO thuê#CMC#KHNT25-KHNT1I
PA08-KHNT1J,12.24755,109.19,12.24395251,109.1803282,FO thuê#CMC#KHNT25-KHNT1J
PC08 csc-KHNT1K,12.24904,109.1841,12.25090401,109.177954,FO thuê#CMC#KHNT05-KHNT1K
PA06 cs2-KHNT1U,12.23647,109.1846,12.2360069,109.1867344,FO thuê#CMC#KHNT55-KHNT1U
PA08-KHNT1V,12.24755,109.19,12.24066,109.18532,FO thuê#CMC#KHNT25-KHNT1V
PA08-KHNT47,12.24755,109.19,12.24512014,109.1836333,FO thuê#CMC#KHNT25-KHNT47
PA06 cs2-KHNT89,12.23647,109.1846,12.22998172,109.1822861,FO thuê#CMC#KHNT55-KHNT89
NTG Nha Trang cũ-KHNT4P,12.27693,109.1884,12.27974401,109.197704,FO thuê#CMC#KHNT79-KHNT4P
Cam Hiệp-KHCL40,12.03192,109.1282,12.0483501,109.12726,FO thuê#CMC#KHCL02-KHCL40
Ninh Hòa-KHNH84,12.50973,109.1375,12.48151,109.12602,FO thuê#CMC#KHNH54-KHNH84
Ninh Hòa-KHNH85,12.50973,109.1375,12.49907,109.15372,FO thuê#CMC#KHNH54-KHNH85
Vạn Ninh-KHVN39,12.69077,109.2209,12.68866,109.22417,FO thuê#CMC#KHVN04-KHVN39
Cam Ranh-KHCL03,11.92552,109.1637,11.99699,109.12421,FO thuê#CMC#KHCR52-KHCL03
PC11a-Cam Lâm,12.1757,109.1737,12.07444,109.1681,FO thuê#CMC#KHNTMA01-KHCLMA01
Cam Phước Đông-KHCR19,11.94161,109.1131,11.99443734,109.1526529,FO thuê#CMC#KHCR47-KHCR19
Cam Ranh-KHCR49,11.92552,109.1637,11.91870901,109.145014,FO thuê#CMC#KHCR52-KHCR49
Cam Hiệp-KHCL47,12.03192,109.1282,12.06328,109.1601,FO thuê#CMC#KHCL02-KHCL47
Cam An-Cam Hiệp,11.96294,109.095,12.03192,109.1282,FO thuê#CMC#KHCR27-KHCL02
Cam Ranh-KHCR14,11.92552,109.1637,11.90960356,109.1272345,FO thuê#CMC#KHCR52-KHCR14
Cam Linh-KHCR04,11.90677,109.1464,11.83796801,109.111695,FO thuê#CMC#KHCR18-KHCR04
Cam Ranh-Cam Linh,11.92552,109.1637,11.90677,109.1464,FO thuê#CMC#KHCR52-KHCR18
Bắc Cam Ranh-KHCL18,11.9756,109.1961,12.0299,109.1773,FO thuê#CMC#KHCR02-KHCL18
Cam Lâm-KHCL17,12.07444,109.1681,12.11886,109.1134173,FO thuê#CMC#KHCLMA01-KHCL17
Bắc Cam Ranh-KHCR53,11.9756,109.1961,11.94227001,109.17915,FO thuê#CMC#KHCR02-KHCR53
Cảng HKQT Cam Ranh-Bắc Cam Ranh,11.99821,109.2188,11.9756,109.1961,FO thuê#CMC#KHCR10-KHCR02
Cam Lâm-Cảng HKQT Cam Ranh,12.07444,109.1681,11.99821,109.2188,FO thuê#CMC#KHCLMA01-KHCR10
Cảng HKQT Cam Ranh-KHCL33,11.99821,109.2188,12.0551579,109.1992261,FO thuê#CMC#KHCR10-KHCL33
Cam Hiệp-KHCL09,12.03192,109.1282,12.0107571,109.0860198,FO thuê#CMC#KHCL02-KHCL09
Cam Hiệp-KHCL13,12.03192,109.1282,12.0156218,109.113312,FO thuê#CMC#KHCL02-KHCL13
Cam Ranh-KHCR17,11.92552,109.1637,11.91789,109.15163,FO thuê#CMC#KHCR52-KHCR17
Cam Linh-KHCR34,11.90677,109.1464,11.9030769,109.1457086,FO thuê#CMC#KHCR18-KHCR34
Cam Ranh-KHCR33,11.92552,109.1637,11.91452,109.15903,FO thuê#CMC#KHCR52-KHCR33
Bắc Cam Ranh-KHCR25,11.9756,109.1961,11.98831,109.1746,FO thuê#CMC#KHCR02-KHCR25
Cam Linh-KHCR36,11.90677,109.1464,11.90945,109.14203,FO thuê#CMC#KHCR18-KHCR36
Cam Ranh-KHCR37,11.92552,109.1637,11.90782,109.15242,FO thuê#CMC#KHCR52-KHCR37
Cam An-KHCR70,11.96294,109.095,11.95555662,109.1041677,FO thuê#CMC#KHCR27-KHCR70
KHVN53-Vạn Ninh,12.7108,109.23668,12.69077,109.2209,FO thuê#VNPT#KHVN53-KHVN04
KHVN38-Vạn Ninh,12.72197,109.23442,12.69077,109.2209,FO thuê#VNPT#KHVN38-KHVN04
KHVN50-Vạn Ninh,12.71453,109.2534,12.69077,109.2209,FO thuê#VNPT#KHVN50-KHVN04
KHVN22-Vạn Ninh,12.70296,109.22034,12.69077,109.2209,FO thuê#VNPT#KHVN22-KHVN04
KHVN47-Vạn Ninh,12.70494,109.24838,12.69077,109.2209,FO thuê#VNPT#KHVN47-KHVN04
KHDK44-Diên Lâm,12.2704521,109.0337186,12.26904,109.0334,FO thuê#VNPT#KHDK44-KHDK25
KHDK41-Nhà tạm giam Diên Khánh,12.2585011,109.0813154,12.24635,109.0729,FO thuê#VNPT#KHDK41-KHDK13
KHDK47-Suối Hiệp,12.20177801,109.063683,12.22102,109.0838,FO thuê#VNPT#KHDK47-KHDK06
KHCL36-Cam Hiệp,12.01606101,109.128601,12.03192,109.1282,FO thuê#VNPT#KHCL36-KHCL02
KHCL65-Cam Lâm,12.09608612,109.1916937,12.07444,109.1681,FO thuê#VNPT#KHCL65-KHCLMA01
KHCL66-Cam Lâm,12.07798701,109.196856,12.07444,109.1681,FO thuê#VNPT#KHCL66-KHCLMA01
KHCR64-Cam Linh,11.9069515,109.1477022,11.90677,109.1464,FO thuê#VNPT#KHCR64-KHCR18
KHCR71-Cam Phước Đông,11.92726001,109.1087601,11.94161,109.1131,FO thuê#VNPT#KHCR71-KHCR47
KHNT20-PC06,12.2443233,109.1882667,12.24753,109.1896,FO thuê#VNPT#KHNT20-KHNT84
KHNT5S-PA06 cs2,12.233701,109.185861,12.23647,109.1846,FO thuê#VNPT#KHNT5S-KHNT55
KHNT6V-PA08,12.23616701,109.178073,12.24755,109.19,FO thuê#VNPT#KHNT6V-KHNT25
KHNH18-Ninh Hòa,12.49078,109.12521,12.50973,109.1375,FO thuê#VNPT#KHNH18-KHNH54
KHNH1I-Hòa Thắng,12.46218,109.12141,12.48016,109.1325,FO thuê#VNPT#KHNH1I-KHNH10
KHNH1O-Tây Ninh Hòa,12.53785,109.01861,12.54083,109.0075,FO thuê#VNPT#KHNH1O-KHNH06
KHNH1S-Tây Ninh Hòa,12.527823,109.037572,12.54083,109.0075,FO thuê#VNPT#KHNH1S-KHNH06
KHNH89-Tân Định,12.51451,109.12176,12.48945,109.1137,FO thuê#VNPT#KHNH89-KHNH12
KHNT85-PC06,12.23781501,109.196403,12.24753,109.1896,FO thuê#VNPT#KHNT85-KHNT84
KHNT86-PC08 (xử lý vi phạm),12.24619123,109.1957109,12.24807,109.1858,FO thuê#VNPT#KHNT86-KHNT60
KHNT49-Nhà nghỉ dưỡng 378 BCA,12.29445132,109.2126144,12.25676,109.1976,FO thuê#VNPT#KHNT49-KHNT1N
