BS_Name,BS_Lat,BS_Lon,Nearest_Router_Name,Nearest_Router_Lat,Nearest_Router_Lon,Router_Type,Router_Priority,Router_Site_ID,Route_Distance_KM,Status
Quảng Trị#TTCMKV#TT2 Quảng Trị,16.79036,107.1043,QTDH14,16.79907,107.12945,AGG,1,,3.2443,Success
Quảng Trị#TTCMKV#TX Quảng Trị,16.73942,107.1883,QTQT09,16.73564,107.18719,AGG,1,,1.2196,Success
Quảng Trị#TTCMKV#Hải Lăng,16.69184,107.2455,QTHL25,16.68812,107.26891,AGG,1,,4.172899999999999,Success
Quảng Trị#TTCMKV#Đăk Rông,16.6945,106.8796,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Quảng Trị#TTCMKV#Cam Lộ,16.80733,106.9927,QTCL34,16.8097,107.00179,AGG,1,,1.7401,Success
Quảng Trị#TTCMKV#Vĩnh Linh,17.06196,107.0116,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Huế#TTCMKV#CAT TT Huế mới,16.47699,107.6256,HUPV08,16.49516,107.62916,AGG,1,,3.0732,Success
Huế#TTCMKV#Phú Vang,16.44,107.7165,HUHT01,16.41168,107.67333,AGG,1,,7.581,Success
Huế#TTCMKV#Phú Lộc,16.277,107.8626,HUPLMA02,16.269802,107.8984,AGG,1,,4.0472,Success
Huế#TTCMKV#Hương Thủy,16.4092,107.6814,HUHT01,16.41168,107.67333,AGG,1,,1.0796,Success
Huế#TTCMKV#Quảng Điền,16.56874,107.5136,HUHA01,16.5252,107.47588,AGG,1,,9.0335,Success
Huế#TTCMKV#Phong Điền,16.5703,107.3823,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Đà Nẵng#TTCMKV#TT1 Đà Nẵng,16.07756,108.2192,DNHC17,16.07745,108.21561,AGG,1,,0.5542,Success
Đà Nẵng#TTCMKV#Cẩm Lệ,16.01692,108.2035,DNCL28,16.01993,108.198,AGG,1,,0.9355,Success
Quảng Nam#TTCMKV#Điện Bàn,15.88756,108.254,QADB15,15.87936,108.25613,AGG,1,,1.8574000000000002,Success
Quảng Nam#TTCMKV#Hội An,15.88074,108.3319,QAHA06,15.89214,108.32104,AGG,1,,2.3634,Success
Đà Nẵng#TTCMKV#Ngũ Hành Sơn,16.01516,108.2544,DNNH02,16.00281,108.25906,AGG,1,,1.579,Success
Đà Nẵng#TTCMKV#Sơn Trà,16.0701,108.2336,DNST87,16.06757,108.24173,AGG,1,,1.0804,Success
