BS_Name,BS_Lat,BS_Lon,Nearest_Router_Name,Nearest_Router_Lat,Nearest_Router_Lon,Router_Type,Router_Priority,Router_Site_ID,Route_Distance_KM,Status
Quảng Trị#Phòng#PC11 (Trại tạm giam),16.80126,107.0875,QTDH04,16.79761,107.083631,CSG,2,,0.7788,Success
Quảng Trị#Phòng#Trung tâm sát hạch lái xe,16.79029,107.091,QTDH50,16.791779,107.090522,CSG,2,,0.325,Success
Quảng Trị#Phòng#PC07,16.81325,107.0887,QTDH19,16.813592,107.088038,CSG,2,,0.1055,Success
Quảng Trị#Phòng#Khối CS,16.79036,107.1043,QTDH50,16.791779,107.090522,CSG,2,,1.8162,Success
Quảng Trị#Phòng#PC04/PA07,16.80926,107.0959,QTDH05,16.81154,107.09687,CSG,2,,0.4257,Success
Quảng Trị#Phòng#PA08,16.79036,107.1043,QTDH50,16.791779,107.090522,CSG,2,,1.8162,Success
Quảng Trị#Phòng#PA09,16.79036,107.1043,QTDH50,16.791779,107.090522,CSG,2,,1.8162,Success
Quảng Trị#Phòng#Trại giam Nghĩa An (C10),16.70855,106.9669,QTCL02,16.74525,106.9641,CSG,2,,5.3191,Success
"Quảng Trị#Phòng#Cơ sở cai nghiện (Cam Hiếu, Cam Lộ)",16.78465,107.0422,QTCL13,16.80421,107.04357,CSG,2,,2.8419,Success
"Quảng Trị#Phòng#PK02 (TT. Ái Tử, Triệu Phong)",16.76855,107.1684,QTQT03,16.74744,107.17837,CSG,2,,3.0809,Success
Quảng Trị#Phòng#TP Đông Hà,16.81566,107.1054,QTDH17,16.81484,107.10338,CSG,2,,0.7079,Success
Huế#Phòng#PK02,16.46507,107.5959,HUTH89,16.46522,107.59521,CSG,2,,0.0435,Success
Huế#Phòng#Phú Xuân,16.4873,107.5877,HUPX23,16.491191,107.588892,CSG,2,,0.4532,Success
Huế#Phòng#K02 (D2/E28),16.1452,107.6896,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Huế#Phòng#PA07,16.49574,107.5986,HUTH2N,16.49246,107.60472,CSG,2,,1.2266,Success
Huế#Phòng#PC01,16.47548,107.6031,HUTH30,16.476861,107.597694,CSG,2,,0.7636,Success
Huế#Phòng#PC11,16.42334,107.5887,HUTH13,16.41803,107.59219,CSG,2,,1.0574,Success
Huế#Phòng#PC10,16.46767,107.5938,HUTH60,16.46932,107.59374,CSG,2,,0.4066,Success
Huế#Phòng#PC08 (CS1),16.45136,107.6125,HUTH05,16.44969,107.60714,CSG,2,,0.9634,Success
Huế#Phòng#Trại giam Bình Điền (C10),16.36139,107.4842,HUPX72,16.375989,107.564828,CSG,2,,10.4887,Success
Huế#Phòng#PC06 (54 Hùng Vương),16.46196,107.5961,HUTH01,16.462433,107.59441,AGG,1,,0.5841,Success
Huế#Phòng#Trung tâm SHLX PC08,16.40444,107.6318,HUHT27,16.41126,107.64041,CSG,2,,1.534,Success
Huế#Phòng#PC04 (trung tâm cái nghiện),16.42841,107.5107,HUPX73,16.45156,107.5304,AGG,1,,3.9803,Success
Huế#Phòng#PC07 (52 Hùng Vương),16.4625,107.5951,HUTH01,16.462433,107.59441,AGG,1,,0.7064,Success
Huế#Phòng#Trạm CSGT Phú Lộc,16.30845,107.7927,HUPL10,16.31785,107.7779,CSG,2,,1.9902,Success
Huế#Phòng#Nhà Ga Sân bay Phú Bài,16.39632,107.7031,HUHT24,16.3868299,107.6868061,CSG,2,,3.481,Success
Đà Nẵng#Phòng#PK02,16.04673,108.1571,DNLC06,16.05041,108.15325,CSG,2,,0.7725,Success
Đà Nẵng#Phòng#Trại giam CATP,16.07797,108.1151,DNHW22,16.06993,108.10842,CSG,2,,1.2889,Success
Đà Nẵng#Phòng#Trạm CSGT Hòa Nhơn,16.00665,108.1495,DNHV01,15.999806,108.145667,AGG,1,,2.5552,Success
Đà Nẵng#Phòng#PC08,16.00757,108.2176,DNCL56,16.01077,108.22035,CSG,2,,0.798,Success
Đà Nẵng#Phòng#PC07,16.03569,108.213,DNCL08,16.0347,108.21336,CSG,2,,0.2263,Success
Đà Nẵng#Phòng#PX04,16.06706,108.2201,DNHC02,16.0648227,108.2230842,CSG,2,,0.5277,Success
Đà Nẵng#Phòng#PA07,16.07437,108.2226,DNHC50,16.075659,108.222119,CSG,2,,0.2149,Success
Đà Nẵng#Phòng#PA06,16.0661,108.2218,DNHC02,16.0648227,108.2230842,CSG,2,,0.3196,Success
