Name,Lat,Lon,SiteID
CSG-DNCL03,16.009583,108.174444,DNCL03
CSG-DNCL04_IXR-E,16.057010,108.175220,DNCL04
CSG-DNCL06,16.021530,108.214870,DNCL06
CSG-DNCL07_IXR-E,16.027080,108.213010,DNCL07
CSG-DNCL08_IXR-E,16.034700,108.213360,DNCL08
CSG-DNCL09_IXR-E,16.036610,108.209210,DNCL09
CSG-DNCL12_IXR-E,16.006349,108.190541,DNCL12
CSG-DNCL15_IXR-E,16.025610,108.187610,DNCL15
CSG-DNCL18_IXR-E,16.025480,108.209520,DNCL18
CSG-DNCL24,16.002060,108.212790,DNCL24
CSG-DNCL28_IXR-E,16.019930,108.198000,DNCL28
CSG-DNCL30_IXR-E,16.012060,108.201440,DNCL30
CSG-DNCL31_IXR-E,16.047470,108.176980,DNCL31
CSG-DNCL56,16.010770,108.220350,DNCL56
CSG-DNCL92,16.023908,108.208655,DNCL92
CSG-DNHC01,16.063980,108.214200,DNHC01
CSG-DNHC02_IXR-E,16.064823,108.223084,DNHC02
CSG-DNHC05,16.046090,108.210130,DNHC05
CSG-DNHC07_IXR-E,16.037160,108.220930,DNHC07
CSG-DNHC11,16.030986,108.225064,DNHC11
CSG-DNHC13_IXR-E,16.057620,108.220500,DNHC13
CSG-DNHC14,16.045520,108.219720,DNHC14
CSG-DNHC15,16.049000,108.217111,DNHC15
CSG-DNHC16_IXR-E,16.071180,108.221240,DNHC16
CSG-DNHC17_IXR-E,16.077450,108.215610,DNHC17
CSG-DNHC20_IXR-E,16.074600,108.209790,DNHC20
CSG-DNHC23_IXR-E,16.061940,108.221530,DNHC23
CSG-DNHC24,16.079285,108.221358,DNHC24
CSG-DNHC28_IXR-E,16.076546,108.219900,DNHC28
CSG-DNHC29_IXR-E,16.050610,108.214180,DNHC29
CSG-DNHC30,16.041500,108.212280,DNHC30
CSG-DNHC34,16.053410,108.206081,DNHC34
CSG-DNHC36,16.031280,108.230470,DNHC36
CSG-DNHC38,16.080440,108.215730,DNHC38
CSG-DNHC40_IXR-E,16.074370,108.217420,DNHC40
CSG-DNHC46,16.039222,108.217583,DNHC46
CSG-DNHC47,16.043575,108.208936,DNHC47
CSG-DNHC48,16.028820,108.220790,DNHC48
CSG-DNHC49_IXR-E,16.034790,108.217480,DNHC49
CSG-DNHC50,16.075659,108.222119,DNHC50
CSG-DNHC54,16.048130,108.208380,DNHC54
CSG-DNHC55,16.053490,108.221420,DNHC55
CSG-DNHC57,16.034560,108.223400,DNHC57
CSG-DNHC60,16.081830,108.220220,DNHC60
CSG-DNHC61,16.041530,108.219080,DNHC61
CSG-DNHC64_IXR-E,16.054800,108.216260,DNHC64
CSG-DNHC75,16.082040,108.213350,DNHC75
CSG-DNHC77,16.065610,108.216550,DNHC77
CSG-DNHV01_IXR-E,15.999806,108.145667,DNHV01
CSG-DNHV02,15.947500,108.219111,DNHV02
CSG-DNHV04,15.970370,108.180990,DNHV04
CSG-DNHV08,15.947870,108.141100,DNHV08
CSG-DNHV10_IXR-E,16.028580,108.112230,DNHV10
CSG-DNHV12,15.980370,108.207710,DNHV12
CSG-DNHV13,15.968750,108.138690,DNHV13
CSG-DNHV16,15.973510,108.102790,DNHV16
CSG-DNHV20,15.977820,108.173370,DNHV20
CSG-DNHV22,15.985230,108.189060,DNHV22
CSG-DNHV26,15.960972,108.208056,DNHV26
CSG-DNHV29,15.946556,108.179833,DNHV29
CSG-DNHV30,15.957389,108.164694,DNHV30
CSG-DNHV34_IXR-E,15.999190,108.126070,DNHV34
CSG-DNHV36,15.991778,108.207528,DNHV36
CSG-DNHV41,15.982170,108.158990,DNHV41
CSG-DNHV44,15.963250,108.121640,DNHV44
CSG-DNHV52,15.975690,108.199600,DNHV52
CSG-DNHW02_IXR-E,16.101680,108.098950,DNHW02
CSG-DNHW03_IXR-E,16.061290,108.100010,DNHW03
CSG-DNHW04,15.986917,108.074056,DNHW04
CSG-DNHW05,16.052361,108.079556,DNHW05
CSG-DNHW06_IXR-E,16.084760,108.097250,DNHW06
CSG-DNHW13,16.023470,108.067660,DNHW13
CSG-DNHW22_IXR-E,16.069930,108.108420,DNHW22
CSG-DNHW23_IXR-E,16.111110,108.087810,DNHW23
CSG-DNLC02_IXR-E,16.062940,108.160490,DNLC02
CSG-DNLC04_IXR-E,16.076470,108.127625,DNLC04
CSG-DNLC06_IXR-E,16.050410,108.153250,DNLC06
CSG-DNLC07_IXR-E,16.090070,108.142540,DNLC07
CSG-DNLC11_IXR-E,16.120940,108.116960,DNLC11
CSG-DNLC13_IXR-E,16.100140,108.133620,DNLC13
CSG-DNLC15-new,16.084137,108.156790,DNLC15
CSG-DNLC16_IXR-E,16.073040,108.151310,DNLC16
CSG-DNLC18_IXR-E,16.063920,108.153020,DNLC18
CSG-DNLC19,16.070610,108.154870,DNLC19
CSG-DNLC1A_IXR-E,16.062934,108.169783,DNLC1A
CSG-DNLC1P_IXR-E,16.081936,108.146558,DNLC1P
CSG-DNLC21_IXR-E,16.054350,108.158130,DNLC21
CSG-DNLC22,16.109353,108.129976,DNLC22
CSG-DNLC22_IXR-E,16.109353,108.129976,DNLC22
CSG-DNLC23_IXR-E,16.058160,108.163340,DNLC23
CSG-DNLC25,16.079360,108.157810,DNLC25
CSG-DNLC30_IXR-E,16.057405,108.169110,DNLC30
CSG-DNLC32_IXR-E,16.067800,108.147360,DNLC32
CSG-DNLC36_IXR-E,16.074820,108.133890,DNLC36
CSG-DNLC40,16.073060,108.166010,DNLC40
CSG-DNLC99,16.074329,108.170791,DNLC99
CSG-DNNH02,16.002810,108.259060,DNNH02
CSG-DNNH06,16.025110,108.249570,DNNH06
