BS_Name,BS_Lat,BS_Lon,Nearest_Router_Name,Nearest_Router_Lat,Nearest_Router_Lon,Router_Type,Router_Priority,Router_Site_ID,Route_Distance_KM,Status
2628-BD001,13.795563,109.208394,LSW-BDQN72,13.791615,109.205154,LSW,2,BDQN72,0.787,Success
2628-BD002,13.83965,109.267939,LSW-BDQN2G,13.827871,109.275485,LSW,2,BDQN2G,2.2546,Success
2628-BD003,13.79497818,109.1633013,CSG-BDQN58,13.794076,109.154071,CSG,1,BDQN58,1.0165,Success
2628-BD004,13.763661,109.21281,CSG-BDQN33,13.762723,109.209894,CSG,1,BDQN33,0.3991,Success
2628-BD005,13.69423984,109.1760951,LSW_BDQN18,13.70629,109.17181,LSW,2,BDQN18,1.6730999999999998,Success
2628-BD006,14.65459922,109.0078914,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-BD007,13.852477,109.073686,CSG-BDAN11,13.85612,109.05981,CSG,1,BDAN11,1.8893,Success
2628-BD008,13.943028,109.24034,LSW_BDPC02,13.944994,109.232621,LSW,2,BDPC02,0.933,Success
2628-BD009,14.5692941,109.0146017,LSW_BDHN39,14.57448,109.02448,LSW,2,BDHN39,1.7219,Success
2628-BD010,13.552673,109.019891,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-BD011,14.258113,109.016028,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-BD012,14.32091976,108.9792546,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-BD013,13.76266784,109.1245443,LSW-BDTP06,13.7641,109.10985,LSW,2,BDTP06,2.8909000000000002,Success
2628-BD014,13.827877,109.093917,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-BD015,13.76969,109.225913,LSW_BDQN07,13.769781,109.228353,LSW,2,BDQN07,0.29919999999999997,Success
2628-BD016,13.920345,109.091889,CSG-BDAN02,13.9251,109.08839,CSG,1,BDAN02,0.6577000000000001,Success
2628-BD017,14.305745,109.073001,LSW_BDPM02,14.29813,109.078,LSW,2,BDPM02,1.0947,Success
2628-BD018,13.881334,109.249515,LSW-BDQN34,13.875706,109.255073,LSW,2,BDQN34,1.6437,Success
2628-BD019,13.80552801,109.2141617,LSW-BDQN55,13.80173,109.1989,LSW,2,BDQN55,2.2053000000000003,Success
2628-BD020,13.61201,108.998212,LSW_BDVC01,13.62184,108.99762,LSW,2,BDVC01,1.1475,Success
2628-BD021,13.724996,109.128527,LSW-BDQN94,13.7186,109.1243,LSW,2,BDQN94,0.9542,Success
2628-BD022,14.264902,109.078623,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-BD023,14.13546341,109.202426,LSW_BDPC04,14.12397,109.19997,LSW,2,BDPC04,2.6471999999999998,Success
2628-BD024,14.16990461,109.0304683,CSG-BDPM27,14.17696,109.04533,CSG,1,BDPM27,3.3105,Success
2628-BD025,13.89778134,109.1921695,LSW_BDTP07,13.90374,109.20633,LSW,2,BDTP07,1.9227,Success
2628-BD026,13.856864,109.200017,CSG-BDTP04,13.86549,109.18761,CSG,1,BDTP04,2.7831,Success
2628-BD027,13.879231,109.192519,CSG-BDTP04,13.86549,109.18761,CSG,1,BDTP04,1.7541,Success
2628-BD028,13.768175,109.203343,LSW_BDQN22,13.764075,109.199927,LSW,2,BDQN22,1.2215,Success
2628-BD029,13.88763291,109.2493063,LSW-BDQN34,13.875706,109.255073,LSW,2,BDQN34,2.3992,Success
2628-BD030,13.815179,109.146333,CSG-BDTP_newsite3,13.807947,109.14699,CSG,1,BDTPMA01,0.899,Success
2628-BD031,13.760425,109.208827,CSG-BDQN33,13.762723,109.209894,CSG,1,BDQN33,0.4156,Success
2628-BD032,13.781149,109.224704,LSW-BDQN06,13.78353,109.22472,LSW,2,BDQN06,0.4352,Success
2628-BD033,13.85279614,109.1891601,CSG-BDTP10,13.84043,109.19265,CSG,1,BDTP10,1.5035,Success
2628-BD034,13.80966607,109.1631955,CSG-BDTP02,13.819584,109.174725,CSG,1,BDTP02,2.36,Success
2628-BD035,13.81446164,109.1887677,LSW_BDQN79,13.80622,109.18222,LSW,2,BDQN79,1.7283,Success
2628-BD036,13.90339665,109.0331516,CSG-BDAN07,13.909714,109.018394,CSG,1,BDAN07,2.333,Success
2628-BD037,13.836193,109.215076,LSW-BDTP15,13.8451,109.21559,LSW,2,BDTP15,1.4902,Success
2628-BD038,13.773006,109.232442,LSW_BDQN1C,13.772357,109.234109,LSW,2,BDQN1C,0.24680000000000002,Success
2628-BD040,13.88617694,109.1206144,LSW-BDAN04,13.88729,109.11353,LSW,2,BDAN04,1.1293,Success
2628-BD041,13.8884,109.27199,LSW_BDQN13,13.882814,109.289449,LSW,2,BDQN13,3.2742,Success
2628-BD042,13.792809,109.105869,LSW-BDTP35,13.80334,109.10757,LSW,2,BDTP35,1.8685999999999998,Success
2628-BD043,13.728969,109.159852,CSG-BDQN45,13.720978,109.161419,CSG,1,BDQN45,1.0148,Success
2628-BD044,13.734306,109.116496,LSW-BDVC07,13.73593,109.10506,LSW,2,BDVC07,1.6445999999999998,Success
2628-BD045,13.779976,109.157708,CSG-BDQN56,13.77969,109.1494,CSG,1,BDQN56,1.0021,Success
2628-BD046,13.766421,109.160899,LSW_BDQN48,13.752098,109.165749,LSW,2,BDQN48,2.3834,Success
2628-BD047,13.788917,109.158487,CSG-BDQN58,13.794076,109.154071,CSG,1,BDQN58,1.1332,Success
2628-BD048,13.794913,109.148399,LSW-BDTP01,13.802001,109.148047,LSW,2,BDTP01,0.873,Success
2628-BD049,13.790911,109.174762,CSG-BDQN54,13.79656,109.1725,CSG,1,BDQN54,2.7472,Success
2628-BD050,13.779438,109.185038,CSG-BDQN40,13.784151,109.180137,CSG,1,BDQN40,0.9234,Success
2628-BD051,13.780819,109.190075,CSG-BDQN40,13.784151,109.180137,CSG,1,BDQN40,1.6985999999999999,Success
2628-BD052,13.777762,109.201444,LSW-BDQN14,13.78626,109.20819,LSW,2,BDQN14,1.5594000000000001,Success
2628-BD053,13.752156,109.206929,CSG-BDQN31,13.751902,109.210256,CSG,1,BDQN31,0.6715,Success
2628-BD054,13.677425,109.233207,LSW_BDQN27,13.68251,109.23116,LSW,2,BDQN27,0.6121,Success
2628-BD055,13.767449,109.214081,CSG-BDQN61,13.767403,109.21213,CSG,1,BDQN61,0.2702,Success
2628-BD056,13.771963,109.217375,CSG-BDQN35,13.77036,109.21568,CSG,1,BDQN35,0.2694,Success
2628-BD057,13.774566,109.219243,LSW_BDQN84,13.772446,109.219625,LSW,2,BDQN84,0.436,Success
2628-BD058,13.766227,109.209077,CSG-BDQN61,13.767403,109.21213,CSG,1,BDQN61,0.437,Success
2628-BD059,13.902961,109.259271,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-BD060,13.852395,109.273305,CSG-BDQN73,13.85191,109.25491,CSG,1,BDQN73,7.3602,Success
2628-BD061,13.785248,109.211056,LSW-BDQN14,13.78626,109.20819,LSW,2,BDQN14,0.3306,Success
2628-BD062,13.848365,109.135873,CSG-BDTP29,13.84005,109.14101,CSG,1,BDTP29,2.0943,Success
2628-BD063,13.84028,109.153943,CSG-BDTP20,13.83163,109.15785,CSG,1,BDTP20,1.6025,Success
2628-BD064,13.833963,109.166844,CSG-BDTP17,13.82664,109.16555,CSG,1,BDTP17,1.172,Success
2628-BD065,13.868072,109.136959,CSG-BDANMA01,13.869726,109.127244,CSG,1,BDANMA01,1.8876,Success
2628-BD066,13.830309,109.143747,CSG-BDTP29,13.84005,109.14101,CSG,1,BDTP29,1.3300999999999998,Success
2628-BD067,13.953211,109.135108,LSW_BDPC27,13.96641,109.14353,LSW,2,BDPC27,3.3766,Success
2628-BD068,13.851087,109.02211,LSW_BDAN20,13.83605,109.01967,LSW,2,BDAN20,2.5136999999999996,Success
2628-BD069,13.866497,108.996079,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-BD070,14.00584411,109.0078576,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-BD071,14.111896,109.198074,LSW_BDPC04,14.12397,109.19997,LSW,2,BDPC04,1.497,Success
2628-BD072,13.997975,109.245405,LSW-BDPC48,13.988838,109.249173,LSW,2,BDPC48,2.6044,Success
2628-BD073,14.072474,109.211135,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-BD074,14.180606,109.18102,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-BD075,14.251991,109.186329,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-BD077,14.35132,109.119654,CSG-BDPM19,14.33584,109.12198,CSG,1,BDPM19,14.070799999999998,Success
2628-BD079,14.178118,109.053873,LSW_BDPM05,14.17062,109.05023,LSW,2,BDPM05,1.3159,Success
2628-BD080,14.11961,109.033444,CSG-BDPM04,14.11979,109.04575,CSG,1,BDPM04,1.5488,Success
2628-BD082,14.144222,109.029256,LSW-BDPM26_1,14.14674,109.04001,LSW,2,BDPM26,1.8556,Success
2628-BD083,14.292183,109.037473,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-BD084,14.425425,109.113746,LSW-BDHN25,14.43103,109.0999,LSW,2,BDHN25,2.2941,Success
2628-BD085,14.402998,109.120384,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-BD086,14.43443,109.117009,LSW-BDHN25,14.43103,109.0999,LSW,2,BDHN25,2.0551999999999997,Success
2628-BD087,14.49498,109.086956,LSW_BDHN19,14.498511,109.0779,LSW,2,BDHN19,1.356,Success
2628-BD088,14.504507,109.084466,LSW_BDHN19,14.498511,109.0779,LSW,2,BDHN19,1.248,Success
2628-BD089,14.513285,109.079637,CSG-BDHN12,14.52105,109.07583,CSG,1,BDHN12,1.0754000000000001,Success
2628-BD090,14.551878,109.067528,CSG-BDHN36,14.54229,109.06412,CSG,1,BDHN36,1.836,Success
2628-BD091,14.567994,109.064345,CSG-BDHN42,14.55938,109.05563,CSG,1,BDHN42,2.1266,Success
2628-BD093,14.51678237,109.0246389,LSW_BDHN29,14.53318,109.02287,LSW,2,BDHN29,2.9126,Success
2628-BD094,14.50280106,109.0248195,CSG-BDHN08,14.49578,109.03394,CSG,1,BDHN08,2.7457,Success
2628-BD095,14.345247,109.04438,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
2628-BD096,13.734854,109.209792,LSW_BDQN43,13.724377,109.211358,LSW,2,BDQN43,1.4655,Success
2628-BD097,13.701987,109.222457,LSW-BDQN12_1,13.71076,109.22153,LSW,2,BDQN12,1.0816,Success
2628-BD098,13.791352,109.20056,LSW-BDQN72,13.791615,109.205154,LSW,2,BDQN72,0.585,Success
2628-BD099,13.800351,109.192929,LSW-BDQN76,13.79515,109.19196,LSW,2,BDQN76,0.809,Success
2628-BD100,13.96355,108.823492,LSW-BDTS27,13.97178,108.81737,LSW,2,BDTS27,1.3337999999999999,Success
